# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 1.69718 1.72849 1.78573 -0.11464 -0.164742 -0.108685
50 1.96643 1.87167 1.69595 -0.153352 0.0072412 0.0758232
100 1.74964 1.46009 1.18382 -0.0169342 -0.00236427 -0.0189827
150 1.63613 1.29952 1.46612 -0.16133 0.1728 -0.000936782
200 1.28044 1.64981 1.29872 -0.250482 -0.00511945 0.00714184
250 1.61512 1.68149 1.18853 -0.25506 -0.158058 0.184487
300 1.51036 1.57669 1.34445 -0.373089 -0.197857 0.169018
350 1.4529 1.26856 1.38389 -0.0919844 0.00891795 0.113442
400 1.85623 1.60399 1.37314 -0.0552977 0.0269308 0.0487852
450 1.76972 1.52831 1.62203 -0.106012 -0.373444 -0.0259727
500 1.90726 1.80012 1.70128 -0.0355369 -0.185414 -0.0431938
550 2.10118 1.89114 1.79548 0.0282627 0.0331119 0.041344
600 2.14853 1.65157 1.92972 0.0644939 0.127349 -0.188174
650 2.1661 1.53893 1.98977 -0.218747 -0.104564 -0.0385264
700 1.91497 1.55594 1.82748 -0.0953541 -0.126788 0.0395779
750 1.83138 1.77341 1.94096 0.0645156 0.0535529 0.125995
800 1.75399 1.75548 1.92232 -0.0712128 0.0861054 0.115046
850 1.46421 1.51214 1.54998 0.0960509 0.0322782 0.0406983
900 1.57098 1.28995 1.44148 0.143532 -0.0316071 -0.0913705
950 1.7449 1.6143 1.90731 0.053402 -0.158953 0.0107372
1000 1.7736 1.65226 1.63686 -0.0671233 0.00386261 0.0445533
1050 1.46171 1.6661 1.66463 -0.112483 0.116158 0.0194408
1100 1.63277 2.36955 2.08783 -0.0777361 0.137845 0.00315507
1150 1.67189 2.22642 1.68415 -0.368541 0.0147379 0.128246
1200 2.07739 1.92584 1.49131 -0.546018 -0.0193356 -0.112056
1250 2.46917 2.0991 1.59014 -0.455297 -0.132365 -0.186375
1300 1.91806 1.76673 1.15167 -0.392918 -0.0323263 -0.0189971
1350 1.65385 1.53824 0.951695 -0.460385 0.20381 0.0113891
1400 1.53641 1.97581 1.29146 -0.413898 0.259318 -0.038747
1450 1.4358 1.77455 1.25714 -0.111359 0.0945206 -0.10999
1500 1.67624 1.63283 1.18149 -0.0122686 -0.0718629 -0.0524304
1550 1.75973 1.66171 1.31997 -0.189328 -0.162108 -0.125192
1600 1.63287 1.5391 1.55088 -0.294492 -0.266905 -0.304567
1650 1.80267 1.56169 1.80235 -0.0625294 -0.240752 -0.299032
1700 1.65434 1.54509 1.58434 -0.124949 -0.0931356 -0.0951643
1750 2.07524 1.63696 1.78001 -0.108961 0.11385 0.122139
1800 1.66438 1.55674 1.9152 -0.0574986 -0.0258985 0.00822346
1850 1.45327 1.36313 2.07229 -0.130816 -0.0243682 -0.088874
1900 1.51885 1.41049 1.72939 -0.071188 0.130824 -0.154123
1950 1.53765 1.38363 1.43041 -0.169149 0.372165 -0.112641
2000 1.79749 1.58468 1.38754 0.0164752 0.304888 -0.0940006
2050 1.73219 1.16542 1.62794 -0.0834873 0.18862 0.0327436
2100 1.76465 1.08408 1.61689 -0.28924 0.0506167 0.049102
2150 1.95514 1.5311 1.93497 -0.335445 -0.0191799 0.0956663
2200 1.90081 1.43778 1.70517 -0.313653 0.0529676 0.0389461
2250 1.63389 1.62031 1.35619 -0.205336 0.0285123 -0.0672125
2300 1.95565 1.68633 1.48634 -0.183221 0.0410298 -0.0215363
2350 1.68631 1.69992 1.396 -0.0780949 0.0862739 0.0157242
2400 1.93667 1.56157 1.51379 -0.279128 -0.0507545 -0.0845686
2450 1.88895 1.38893 1.42132 -0.233688 0.0436405 -0.0304403
2500 1.65954 1.54182 1.29141 -0.075097 -0.114379 -0.0149712
2550 1.89036 1.48644 1.46017 0.00817553 -0.226441 -0.000977063
2600 1.72428 1.42044 1.25283 -0.0116978 -0.236876 0.0139076
2650 1.69607 1.88745 1.74307 0.112157 -0.257431 -0.0713989
2700 1.31617 1.77411 1.65516 -0.131601 -0.0546878 0.131877
2750 1.51783 1.97393 1.55488 -0.329556 0.110451 -0.11871
2800 1.58311 1.65332 1.64049 -0.367646 0.181612 -0.0891218
2850 1.74408 1.89882 1.73913 -0.335675 0.083645 -0.0563654
2900 1.65774 1.8863 1.69544 -0.170585 0.00868161 -0.141977
2950 1.33033 1.69641 1.06918 -0.230519 0.0650474 -0.20346
3000 1.31226 1.52627 1.28668 -0.440932 0.043794 -0.0924573
3050 1.04405 1.43506 1.40706 -0.429002 0.014306 -0.0709702
3100 0.970203 1.50938 1.15803 -0.494104 0.294863 -0.144514
3150 1.34305 1.60308 1.27868 -0.375386 0.183651 -0.0357209
3200 1.59279 1.66459 1.50492 -0.172201 0.263315 -0.00708943
3250 1.64865 1.69 1.28774 0.0509611 0.246405 -0.102174
3300 1.61561 1.61069 1.6282 0.134948 -0.0418994 0.0133171
3350 1.86741 1.94878 1.75256 -0.205346 -0.00636735 0.0141613
3400 1.91404 1.79674 1.70673 -0.289239 0.121922 0.0847742
3450 1.90252 1.672 1.74452 -0.326543 0.0608373 0.113623
3500 1.75093 1.45983 1.68218 -0.492421 0.0501687 0.0487593
3550 1.64226 1.58638 1.46643 -0.54664 0.0230377 0.0218169
3600 1.65689 1.67902 1.46568 -0.497905 -0.0387248 -0.20981
3650 1.81466 1.64296 1.30705 -0.259649 -0.00379257 -0.129899
3700 1.70285 1.60891 1.32731 -0.121581 -0.20602 -0.0493783
3750 1.24222 1.54171 1.51398 -0.185391 0.0295104 0.0577509
3800 1.60343 1.46884 1.49827 -0.390946 0.100567 0.137783
3850 1.92944 1.15252 1.42299 -0.383731 0.0623639 0.330734
3900 1.8806 1.11959 1.29419 -0.206705 -0.195736 0.250093
3950 1.99974 1.00585 1.20433 -0.159912 -0.0402896 0.293007
4000 1.66251 0.758659 1.26104 -0.459489 -0.165243 0.0886531
4050 1.84465 1.18806 1.45319 -0.270528 -0.176728 -0.0161722
4100 1.83808 1.28068 1.25692 -0.0249962 -0.0741714 -0.0460644
4150 1.66134 1.17537 1.4398 -0.111422 -0.00986086 -0.159945
4200 1.70911 1.43149 1.25928 -0.241653 -0.0245334 0.0964911
4250 1.8182 1.25498 1.25577 -0.192279 0.0267661 0.27329
4300 2.09683 1.22829 1.46534 -0.158843 0.0245393 0.238048
4350 1.82179 1.18886 1.36096 -0.208526 0.0701663 0.197887
4400 1.91358 1.24359 1.29171 -0.0873001 0.0864748 0.0317745
4450 2.03749 1.48309 1.49707 -0.20457 0.150025 -0.134267
4500 2.06837 1.38648 1.60106 -0.400794 -0.0251347 -0.0282921
4550 1.82536 1.54445 1.41927 -0.388554 -0.0448921 -0.0627268
4600 1.72853 1.73959 1.2834 -0.298711 -0.0438292 -0.0105653
4650 1.93791 1.88182 1.85288 -0.377922 0.139234 0.110585
4700 2.07892 1.40918 1.82965 -0.175529 0.268134 -0.0729915
4750 2.34888 1.7163 1.58139 -0.177112 0.283998 -0.137546
4800 1.82892 1.89437 1.62597 -0.162733 0.350439 -0.0757011
4850 1.61583 1.63363 1.48672 -0.191798 0.349573 -0.23897
4900 1.57866 1.84161 1.46609 -0.280887 0.16726 -0.360388
4950 1.77619 1.5604 1.57047 -0.204542 0.150196 -0.186036
5000 1.56864 1.63477 1.71075 -0.202919 0.00776405 -0.165011
5050 1.44864 1.50692 1.39926 -0.369568 0.0425466 0.0145774
5100 1.46962 1.83431 1.63359 -0.183408 -0.0950388 -0.0829463
5150 1.77547 1.75678 1.61688 -0.0443243 0.105635 -0.0500922
5200 1.65506 1.97502 1.13804 -0.212384 0.116058 0.0245254
5250 1.93468 2.14656 1.77673 -0.379494 0.149898 -0.123685
5300 1.54551 2.03346 1.62872 -0.255421 0.0831971 0.0643633
5350 1.70304 1.92382 1.29401 -0.238176 -0.0255227 0.111279
5400 1.94523 2.02989 1.8089 -0.159196 0.0662816 0.128548
5450 1.67273 1.65659 1.88972 -0.0861165 -0.156578 0.154907
5500 1.73924 1.90744 2.30846 -0.31417 -0.209328 0.167206
5550 1.40561 1.83787 1.76752 -0.479617 -0.164663 0.112381
5600 1.74289 1.72313 1.93534 -0.435165 -0.136708 0.140926
5650 1.82768 1.87696 2.16563 -0.511057 0.14708 0.124194
5700 1.53372 1.77317 1.70024 -0.382218 0.277757 0.258414
