# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 109.215 3.84351 2.46139 -3.76775 -0.215559 0.287386
50 110.548 4.00447 2.79987 -3.88726 0.228661 0.273421
100 111.608 3.74986 2.76745 -3.92632 0.423985 -0.328543
150 111.164 3.39179 2.69001 -3.56583 0.112618 -0.200789
200 110.492 3.1371 2.56074 -3.41119 0.145252 0.0877255
250 111.054 3.2439 2.96106 -3.35237 0.121809 -0.231249
300 110.424 3.16913 3.32926 -3.40293 0.279507 -0.392086
350 109.829 3.58655 3.08737 -3.27016 -0.0675191 -0.0772229
400 110.232 3.27019 3.06767 -3.02283 -0.478648 0.0554284
450 111.839 3.44254 3.20591 -3.34083 -0.174093 0.126954
500 111.426 3.46843 3.08726 -3.19934 -0.0215404 0.163422
550 111.306 3.38852 2.67212 -3.10638 0.208378 0.0482893
600 111.246 3.29315 2.64715 -3.08247 0.280999 0.132966
650 111.574 3.756 2.34363 -3.13277 0.195654 -0.0204577
700 109.601 3.52045 2.12341 -2.82267 -0.126028 0.0429006
750 109.978 2.94073 2.06314 -2.78933 -0.120606 0.0603112
800 110.071 3.22998 2.09869 -2.91507 -0.0143667 -0.0735364
850 110.07 3.37617 2.03081 -3.26026 0.143201 -0.011103
900 110.296 3.23491 2.14639 -3.35591 0.313217 0.0455469
950 110.394 3.17129 2.50857 -3.02224 0.350084 -0.0205153
1000 109.877 3.3772 2.64808 -3.03332 0.356175 -0.0946905
1050 109.764 3.23274 2.86042 -2.89558 0.270041 -0.172082
1100 109.074 2.94026 2.64308 -2.86431 -0.180345 -0.07192
1150 109.595 3.16111 2.19599 -3.38439 0.118304 -0.123664
1200 109.88 3.4416 2.05717 -3.3359 0.142737 -0.274058
1250 110.114 3.71781 2.53153 -3.2421 0.186363 0.0160834
1300 108.019 3.71005 2.81688 -3.38957 0.539222 0.0273627
1350 107.09 3.52277 2.93419 -3.28292 0.352553 0.187445
1400 106.703 3.90646 3.13225 -3.41566 0.111067 0.119596
