# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 62.5207 3.17889 2.72058 -2.82323 -0.116854 -0.195129
50 62.7878 3.18717 2.60629 -2.79099 -0.202109 0.00408823
100 61.7858 3.13195 2.5463 -2.28101 -0.275307 0.00948632
150 61.221 2.76555 2.78513 -2.16163 -0.0872005 -0.348567
200 61.9005 2.60119 2.78137 -2.42509 -0.0203741 -0.0513267
250 61.4043 2.43107 2.09933 -2.38046 -0.426283 -0.0908975
300 61.6473 2.52659 2.41682 -2.45596 -0.221334 -0.325611
350 61.6027 2.56669 2.49622 -2.34887 0.224313 -0.384651
400 61.6515 2.91102 2.55759 -2.3269 0.29066 -0.0686918
450 61.358 3.16706 2.34527 -2.74869 0.277819 0.0930743
500 62.382 2.68963 2.36391 -3.09394 -0.0551745 0.18534
550 63.0439 2.30123 2.35657 -2.90863 -0.0192262 0.0179897
600 62.7337 2.27115 2.77787 -2.71909 -0.0267438 -0.0620852
650 62.0434 2.71005 2.8295 -2.66648 0.188182 -0.0998868
700 62.7371 2.83259 2.65382 -2.59163 0.155824 0.049559
750 63.264 2.83748 2.44626 -2.66672 -0.174011 0.192687
800 63.509 2.90454 2.46147 -2.97829 -0.242832 0.296713
850 62.9434 2.86579 2.81664 -2.92199 -0.154075 0.111887
900 62.7752 2.95437 3.42004 -2.60981 0.0211297 -0.318329
950 62.181 2.74065 2.93266 -2.33217 0.126352 0.144712
1000 62.096 2.71278 2.5064 -2.3932 0.390806 0.405994
1050 63.5237 2.87596 2.49872 -2.60867 0.411169 0.267033
1100 63.3075 2.67783 2.64271 -2.6951 0.25289 0.210594
1150 63.7271 2.89642 2.96314 -2.74841 0.245636 0.0670241
1200 62.9361 3.08234 2.7031 -2.72142 0.107361 -0.0687884
1250 62.6269 3.64666 2.51775 -2.61097 0.0719499 0.00417197
1300 61.678 3.70677 2.66731 -2.43217 -0.253248 0.0892674
1350 62.7265 3.54981 2.88497 -2.62017 -0.124047 0.150323
1400 63.3105 3.1994 2.74241 -2.76972 0.0830832 0.120381
1450 62.3952 3.20593 2.88604 -2.8594 0.0375023 0.0624104
1500 61.7533 3.14473 2.80037 -2.62338 -0.109829 -0.0647504
1550 61.6354 2.93347 2.41018 -2.54403 -0.209327 -0.197343
1600 62.1654 2.4993 2.50497 -2.53266 -0.065207 -0.263411
1650 61.74 2.54892 2.35586 -2.3812 -0.0788162 0.00684064
1700 61.9725 3.12537 2.63661 -2.63715 -0.335544 0.447618
1750 61.5455 2.66042 2.43749 -2.59702 0.0758584 0.41856
1800 60.4416 2.22293 2.47351 -2.31515 -0.338371 0.41904
1850 60.3865 2.26911 2.26237 -2.13799 -0.116458 0.166297
1900 60.7541 2.30291 1.92965 -2.3996 0.200661 -0.00782178
1950 61.2416 2.66844 1.78444 -2.64515 0.424008 0.0863836
2000 62.7918 2.91904 2.21596 -2.77232 0.42149 0.0410931
2050 62.6077 3.24231 2.82772 -2.36157 0.113521 0.274436
2100 62.3981 3.27346 2.45304 -2.41574 0.166055 0.187384
2150 63.388 3.03828 2.49172 -2.53179 0.109541 0.287126
2200 63.1235 3.06182 2.72986 -2.78629 0.121962 0.218652
2250 63.0451 3.23098 2.83445 -2.76784 0.278638 -0.0244238
2300 62.1305 3.39506 2.46754 -2.6945 0.343507 -0.0753008
2350 61.9278 3.34391 2.26373 -2.96863 0.148267 -0.101505
2400 62.2321 3.10261 2.1979 -2.965 -0.103467 -0.00833547
2450 62.5419 3.1493 2.01694 -2.79637 -0.177049 0.157877
2500 62.985 2.58173 1.71086 -2.464 -0.19128 0.112572
2550 62.8949 2.31629 1.67263 -2.33773 -0.0203337 0.171663
2600 62.4529 2.45962 1.72715 -2.19035 -0.103497 0.355366
2650 62.6264 2.4228 1.87809 -2.16252 -0.115558 0.357278
2700 62.5176 2.7811 1.98902 -2.53334 -0.204125 0.388601
2750 62.4992 3.01711 2.38308 -2.68654 -0.185539 0.348538
2800 62.9048 3.08613 2.82878 -2.47171 0.138082 -0.220031
2850 63.3516 3.18304 3.16398 -2.51779 -0.0216826 -0.210832
2900 62.3034 2.97356 2.52767 -2.39697 0.210327 -0.0967198
2950 62.5827 3.15501 2.73809 -2.69505 -0.0211617 0.0916464
3000 63.1757 3.28317 2.8187 -2.97777 0.24712 -0.0226545
3050 62.5438 3.33195 2.7977 -2.92924 -0.0347543 -0.0452738
3100 63.1708 3.46367 2.28898 -2.72475 -0.163149 0.0520599
3150 62.9604 3.10713 1.99365 -2.39895 0.0339782 0.0919587
3200 63.1828 2.63956 1.72284 -2.32487 0.337228 -0.112241
3250 62.9488 2.46993 2.02903 -2.14691 0.4755 -0.0525305
3300 62.0674 2.14796 1.47632 -2.19993 0.25833 -0.00682952
3350 62.211 2.03056 1.80121 -2.536 0.416845 0.111536
3400 61.8552 2.44192 2.01688 -2.58706 0.375846 -0.0966396
3450 62.0648 2.3611 2.08164 -2.90077 -0.0429949 0.230278
3500 62.4249 2.70258 2.15931 -2.90733 -0.116007 0.15986
3550 62.4475 2.72095 2.50214 -2.70204 -0.342728 0.116853
3600 62.6985 3.16099 2.54591 -2.68184 -0.236482 -0.0481135
3650 62.8961 3.08212 2.32838 -2.76355 0.0715245 -0.174183
3700 63.3533 3.06838 2.31541 -2.45067 0.0494611 0.0399996
