# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 1.88099 1.38176 1.70807 -0.270233 0.302204 0.14157
50 1.68608 1.50761 1.59192 -0.261088 0.373449 0.188914
100 1.536 1.65737 1.70632 -0.25097 0.387117 -0.0244014
150 1.35478 1.74784 1.76372 -0.145609 0.247798 -0.0722129
200 1.2694 1.48593 1.72396 -0.0549127 0.182751 -0.173876
250 1.55195 1.52221 1.57249 0.056872 0.361256 -0.0831345
300 1.86788 1.62065 1.60269 0.0556403 0.383418 -0.0125777
350 1.92778 1.69026 1.46604 -0.0451795 0.18286 0.10355
400 2.00269 1.65226 1.49958 -0.143155 0.104195 0.157593
450 1.98485 1.61499 1.59672 -0.254577 0.140501 -0.120483
500 1.47508 1.65445 1.62995 -0.331624 0.227292 -0.134563
550 1.66922 1.57786 1.67547 -0.133179 0.205947 -0.200425
600 1.57096 1.40248 1.37439 -0.153437 0.135525 -0.161019
650 1.77821 1.25457 1.33314 -0.0663434 0.0790877 -0.171288
700 1.72291 1.35783 1.42972 -0.313931 -0.215985 -0.187398
750 1.62038 1.64137 1.55962 -0.313873 -0.269362 -0.0824264
800 1.75742 1.86875 1.4328 -0.119947 -0.0427084 -0.199513
850 1.9123 1.87383 1.50367 -0.0301153 0.161656 -0.067614
900 1.88564 1.66812 1.35969 0.0133847 0.0303802 -0.0274041
950 2.00862 1.57317 1.41866 -0.214404 -0.0234356 -0.117005
1000 2.0331 1.68701 1.7617 -0.00584705 0.0263497 0.0273409
1050 1.84679 1.56447 1.4031 -0.153344 0.227675 -0.0261831
1100 1.67938 1.26966 1.35566 -0.0550573 0.0935099 0.0949011
1150 1.69598 1.49986 1.29974 0.227597 -0.0907317 0.0422149
1200 1.1846 1.26891 1.42018 0.159249 -0.0734535 -0.0759114
1250 1.15351 1.31635 1.61527 -0.189906 -0.117853 -0.148431
1300 1.58606 1.36617 1.70358 -0.334355 0.0362356 -0.0403593
1350 1.5558 1.48479 1.73198 -0.0197131 -0.169701 -0.0796011
1400 1.86485 1.65917 2.10194 -0.0947492 -0.116406 0.053664
1450 1.89663 1.50088 2.04846 -0.132235 -0.253966 0.147283
1500 1.78653 1.14728 1.87337 -0.141884 0.0125912 0.127391
1550 1.93909 1.39814 1.7247 -0.0812781 0.193419 0.0121529
1600 1.81414 1.3441 1.39868 -0.0628149 0.121656 -0.0391877
1650 1.70304 1.70533 1.3566 -0.0369613 0.0514654 -0.134223
1700 1.56615 1.45926 1.38561 -0.00193259 0.24786 -0.195616
1750 1.27847 1.102 1.39772 -0.156343 0.130464 -0.214496
1800 1.58226 1.20528 1.53793 -0.229063 0.00520937 -0.152056
1850 1.27698 1.41095 1.25933 -0.292286 -0.228303 0.0527299
1900 1.23895 1.92433 1.38716 -0.177425 -0.350474 0.267135
1950 1.25572 1.76452 1.62001 -0.0902239 -0.272192 0.165029
2000 1.39332 1.56096 1.62116 -0.168187 -0.0257202 0.153288
2050 1.71999 1.52568 1.76911 -0.0150404 0.275467 -0.0537706
2100 1.72692 1.23794 1.52701 -0.143416 0.296888 -0.167883
2150 1.66474 1.34814 1.48345 -0.0963954 0.22062 -0.22188
2200 1.31981 1.37996 1.49283 -0.15381 0.0845237 -0.348094
2250 1.41237 1.4292 1.56144 -0.00326198 -0.181292 0.000349993
2300 1.23964 1.03574 1.24306 -0.0269319 -0.110153 0.191586
2350 1.69006 1.53344 1.2973 -0.118405 -0.088805 0.254786
2400 1.63431 1.47059 1.12489 0.000136776 -0.021019 0.218504
2450 1.83396 1.67574 1.67644 -0.0954088 -0.117881 0.123658
2500 1.6415 1.47005 1.49826 -0.10393 -0.109321 0.16953
2550 1.71734 1.61849 1.51408 -0.334245 -0.318276 0.010889
2600 1.49845 1.64158 1.55232 -0.256653 -0.234867 -0.0061048
2650 1.48113 1.94546 1.80376 -0.312283 -0.20965 0.0978725
2700 1.42577 1.74384 1.76936 -0.343462 0.00565971 0.112068
2750 1.56139 1.39907 1.66307 -0.193299 -0.159087 0.0674167
2800 1.58793 1.55868 1.50268 -0.00969608 -0.0976994 0.0614835
2850 1.63746 1.68426 1.59245 -0.158045 -0.0331475 0.00557816
