# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 89.675 3.33418 2.48643 -3.12056 -0.662136 0.327925
50 89.3235 3.41635 2.44403 -2.90908 -0.576534 0.232945
100 89.6124 3.42549 2.52099 -2.81149 -0.310268 0.188404
150 89.68 3.35945 2.42384 -2.68339 -0.084373 -0.0252986
200 88.7804 3.47396 2.50064 -2.89059 0.395261 -0.266511
250 88.2259 3.4055 2.77361 -2.68971 0.220883 -0.244951
300 87.8058 3.10269 2.74507 -2.61563 0.156052 -0.25197
350 88.2232 3.21756 2.62123 -2.98695 -0.131526 -0.0378766
400 87.9863 3.29757 2.88957 -2.98579 -0.28062 -0.204065
450 88.8768 2.99995 2.72057 -3.1347 -0.132935 -0.151018
500 88.267 3.19176 2.39114 -3.06448 0.0606666 -0.0474849
550 87.8855 3.35511 2.10032 -2.56373 0.142915 0.0339088
600 88.4816 3.31648 2.45438 -2.68728 0.163371 0.112536
650 87.9247 3.4699 3.02032 -3.03404 0.313702 0.034648
700 88.2509 3.58829 2.85129 -3.12895 0.161913 -0.343426
750 87.8548 3.90045 2.92438 -3.312 -0.154259 -0.0818115
800 88.9083 3.50667 2.8055 -2.92091 -0.198017 0.00762957
850 89.8403 3.12569 2.60073 -3.03778 -0.363408 0.198216
900 89.2845 3.00483 2.49834 -3.17071 0.0495712 -0.0131114
950 89.2393 3.16187 2.5505 -3.16169 0.0268666 -0.15336
1000 89.7269 3.02882 2.60914 -2.9404 0.0924751 -0.481996
1050 89.3879 3.0309 2.53287 -3.02759 0.401723 -0.423262
1100 89.536 2.71288 1.85709 -2.80121 0.296082 -0.128985
1150 89.1768 3.04696 2.25853 -2.71256 0.223172 0.0539951
1200 89.4909 3.41401 2.16576 -2.66992 0.127923 -0.13313
1250 90.3116 3.28218 2.19119 -2.59031 -0.0545165 -0.0502151
1300 90.4107 3.1103 2.64333 -2.9883 -0.0908693 0.0180819
1350 90.7264 3.03336 2.48566 -3.0347 -0.250975 0.109615
1400 90.1717 3.4794 2.51815 -3.08696 -0.198143 0.212536
1450 90.4201 3.30348 2.29049 -3.1832 -0.221454 0.189415
1500 89.0977 3.18944 2.46635 -2.97998 -0.176359 0.311872
1550 89.4826 3.41043 2.59676 -3.28906 -0.127432 0.296743
1600 88.813 3.39258 2.29872 -3.04685 -0.211154 -0.0717308
1650 88.2084 3.26311 2.57578 -3.13727 -0.161331 -0.110814
1700 88.4393 3.03066 2.4111 -2.83408 -0.0959134 -0.0804388
1750 89.9686 3.05554 2.483 -2.70053 -0.317324 0.0604126
1800 90.5461 3.31979 2.27013 -2.92226 -0.263288 0.125391
1850 90.2025 3.35842 2.2687 -3.03209 -0.220511 0.154104
1900 90.2176 3.7793 2.43199 -3.12122 -0.40147 0.287304
1950 92.1218 3.60134 2.78916 -3.36884 -0.399606 0.113038
2000 90.917 3.28754 3.3307 -2.88452 -0.572587 -0.043361
2050 90.5206 3.09756 3.17408 -2.86914 -0.341704 0.161549
2100 91.0508 3.38868 2.78466 -3.06004 -0.0248952 0.26105
2150 90.7188 2.98229 2.34014 -2.92709 0.414809 0.0289464
2200 91.2404 2.79316 2.42964 -2.98907 0.480001 -0.0566644
2250 90.1538 3.02989 2.2845 -3.02703 0.354165 0.0178842
2300 89.8824 3.35461 2.43738 -3.04868 0.160974 0.276898
2350 90.8669 3.67002 2.48371 -3.37421 0.293215 0.114854
