# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 134.916 3.81716 2.99043 -3.85354 0.0996177 -0.179744
50 134.367 3.82461 3.10572 -3.77377 0.253874 -0.0191515
100 132.493 3.87775 2.88068 -3.83315 -0.375013 0.265963
150 132.749 4.0671 2.78244 -3.7208 -0.0767331 0.123809
200 133.238 3.72837 2.91098 -3.22756 0.286812 -0.0314967
250 133.589 3.7495 3.0367 -3.09357 -0.0266499 -0.157505
300 135.123 3.62889 2.81025 -3.33133 -0.311103 0.13281
350 133.675 3.93542 3.03144 -3.52548 -0.396709 0.25816
400 133.8 3.98312 2.93186 -3.50686 -0.0735597 0.185942
450 133.5 4.11506 2.89778 -3.65582 0.152944 0.128063
500 132.649 3.78555 3.03746 -3.68252 0.320341 0.0251249
550 133.107 4.20633 3.41428 -4.07246 0.434783 0.14198
600 131.721 4.40347 3.20883 -3.81772 0.0924611 0.306967
650 132.408 4.12584 2.97861 -3.62667 -0.343125 0.172283
700 133.712 3.66646 2.73056 -3.30022 -0.322108 0.240884
750 133.688 3.68169 2.3369 -3.12425 -0.0166112 0.0401358
800 135.171 3.97435 2.14331 -3.45904 0.123369 0.00528691
850 133.524 3.81115 2.1706 -3.64263 0.139703 -0.202367
900 133.327 3.15385 2.30378 -3.16875 0.0413247 -0.221084
950 132.811 3.43443 2.41296 -3.10131 -0.228703 0.121959
1000 133.299 3.48841 2.70123 -3.29889 -0.594684 0.405312
1050 134.058 3.43621 2.79681 -3.32351 -0.660131 0.293604
1100 133.735 3.50402 2.98348 -2.96353 -0.513511 0.455754
1150 135.22 4.12296 2.7401 -3.14714 -0.502336 0.437455
1200 133.405 4.27914 2.77421 -3.18209 -0.45237 0.0399689
1250 132.237 4.81782 2.88691 -3.41569 -0.457403 0.0185196
1300 133.345 4.5944 2.64051 -3.29447 -0.491879 -0.0402152
1350 132.25 4.2986 3.04628 -3.63191 -0.262812 -0.176614
1400 132.277 4.21739 3.11606 -3.782 -0.122202 0.00340202
1450 132.231 4.14568 2.74113 -3.42425 -0.0711761 0.116901
1500 132.209 4.11642 2.64461 -3.44466 -0.258504 0.108903
1550 132.641 4.3201 2.74886 -3.5134 -0.255249 0.076229
1600 134.378 4.34309 2.82837 -3.91499 -0.217038 0.0479363
1650 133.888 4.11384 2.68048 -3.67013 -0.358253 0.0283846
1700 133.184 3.98278 2.74716 -3.55027 -0.30222 0.134761
1750 132.373 3.88682 2.8714 -3.44449 -0.426065 0.208273
1800 132.124 3.62244 2.96725 -3.3539 -0.296362 -0.0498947
1850 133.113 3.66985 3.28826 -3.40854 -0.156029 -0.379057
1900 132.923 3.77887 3.15632 -3.3007 -0.205124 -0.211403
1950 133.439 3.85207 3.18468 -3.40096 -0.117505 -0.213496
2000 132.27 3.9103 2.89753 -3.2582 -0.0400702 -0.37582
2050 132.822 3.75901 2.71227 -2.99087 -0.119835 -0.132075
2100 132.54 4.17483 3.00625 -3.21559 -0.0818424 -0.269085
2150 130.899 3.73404 3.05929 -3.58502 -0.180615 0.100827
2200 131.056 3.80862 2.7814 -3.68194 -0.309835 0.133533
2250 131.971 3.50565 2.59342 -3.60383 0.0161396 0.056712
2300 132.884 3.48002 2.75567 -3.41908 0.523371 -0.00536889
2350 132.042 3.82623 2.62672 -3.50979 0.451798 0.00308863
2400 132.787 3.85781 2.57542 -3.30449 0.0721548 0.117713
2450 134.138 3.86076 2.79834 -3.35012 -0.0932653 0.152659
2500 135.181 3.81704 2.72298 -3.61905 -0.0357587 0.02011
2550 134.895 3.77051 3.12968 -3.22964 0.0192643 -0.123684
2600 135.43 3.79447 2.89566 -3.22883 -0.278056 -0.174074
2650 133.877 3.66159 2.70767 -3.36025 -0.317941 -0.182467
2700 132.896 3.17027 2.59821 -3.09441 -0.186928 -0.136931
2750 134.575 3.38497 2.90005 -3.62367 0.265926 0.188948
2800 134.73 3.33435 2.97911 -3.57022 0.422991 0.0135657
2850 134.257 2.97259 3.1091 -3.31841 0.207396 -0.386464
2900 134.977 2.59936 3.07563 -3.53443 -0.00591704 -0.131368
2950 136.142 3.40822 2.99325 -4.10725 -0.0333752 -0.192368
3000 134.93 3.30961 3.16267 -3.66801 -0.230232 -0.27263
3050 134.454 3.63282 3.21543 -3.56892 -0.119313 -0.302318
