# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 19.3003 1.64341 1.7908 -1.49296 0.133789 -0.165965
50 19.4902 1.27784 1.6587 -1.46734 0.195091 0.0162764
100 18.94 1.73988 1.5565 -1.53627 0.0761166 -0.0350386
150 18.734 2.14154 1.45019 -1.45408 -0.0453583 -0.218146
200 19.0986 2.21184 1.48397 -1.43564 0.0749316 -0.0642997
250 19.2984 2.26314 1.7963 -1.34095 0.0560024 -0.266593
300 19.3634 2.19814 1.99959 -1.50949 0.0680938 -0.351404
350 19.963 2.18575 2.18627 -1.64111 0.0193811 -0.452199
400 19.9692 2.49726 2.22567 -1.60502 -0.162461 -0.214504
450 19.8024 2.68675 1.8912 -1.5811 0.00472678 -0.304771
500 19.8212 2.55455 1.64527 -1.69406 0.0798578 -0.258092
550 19.6923 2.37061 1.72688 -1.47675 0.0847271 -0.208681
600 19.6813 2.21078 1.79346 -1.28333 -0.17901 -0.0242618
650 19.1501 1.80254 2.0446 -1.29802 0.103362 0.166297
700 18.9114 1.71933 2.13726 -1.44216 0.132485 0.0364438
750 19.4383 1.7662 2.09063 -1.55568 -0.0342249 0.0312996
800 19.2382 2.13441 1.96591 -1.887 -0.0441231 -0.0282977
850 19.5329 2.30193 1.93748 -1.77502 -0.0807584 -0.0702055
900 19.4936 2.55374 2.17296 -1.75264 -0.29178 0.096846
950 19.3993 2.92854 2.06049 -1.74707 -0.210558 0.201037
1000 19.942 2.88957 2.14468 -1.6492 -0.253681 0.35826
1050 19.5024 2.69812 2.57081 -1.49336 0.145073 0.0768066
1100 19.1163 2.64118 2.4266 -1.5257 -0.0809978 0.244305
1150 18.8359 2.17593 1.80649 -1.53248 -0.127293 0.325612
1200 18.9121 1.64092 1.69888 -1.53056 -0.150464 0.248904
1250 18.5885 1.53139 1.84365 -1.54941 -0.203761 0.334078
1300 18.784 1.31152 1.6882 -1.56297 -0.040681 0.0666641
1350 18.9286 1.88119 1.35953 -1.67795 0.158449 -0.0577562
1400 19.2535 2.25428 1.60806 -1.5913 0.118905 -0.0603226
1450 19.0713 1.95166 2.18776 -1.41732 0.268577 -0.12296
1500 18.9352 2.25856 2.31838 -1.5022 0.131412 -0.163346
1550 19.2098 2.33205 2.33029 -1.76379 0.111985 -0.30723
1600 19.1704 2.15356 2.03936 -1.53627 0.0446113 -0.115927
1650 19.4115 2.34646 2.28506 -1.55445 0.0282028 -0.229358
1700 19.3164 2.37834 1.9179 -1.52781 0.0759358 -0.0973347
1750 18.9401 2.43637 1.80553 -1.72152 0.118369 -0.0507504
1800 18.8285 2.58539 1.68239 -1.62723 -0.0209987 -0.0302667
1850 18.9286 2.37282 1.90792 -1.47825 0.0957548 -0.0574655
1900 18.8981 2.35098 1.82134 -1.49503 0.164497 -0.119294
1950 19.0626 2.33495 1.43221 -1.41474 0.0936298 0.0221841
2000 19.1244 2.5193 1.27103 -1.5289 -0.186492 -0.256646
2050 19.5142 2.77063 1.5772 -1.74309 -0.186945 -0.167057
2100 19.1285 2.69536 1.52209 -1.75581 -0.19958 -0.184899
2150 18.9362 2.219 1.5552 -1.60805 0.00883584 -0.208919
2200 18.7301 2.33812 1.59501 -1.45428 0.0899821 -0.136699
2250 18.8678 2.17423 1.59421 -1.53058 0.36068 -0.0936686
2300 18.7025 2.41522 1.80806 -1.29712 0.238833 -0.0237347
2350 19.1082 2.23508 2.17074 -1.51671 0.0709023 -0.0862492
2400 19.2008 2.13294 1.957 -1.62921 -0.200841 -0.0897498
2450 19.5569 2.17401 1.84372 -1.59934 -0.18808 0.0183003
2500 19.3416 2.23639 2.01293 -1.38611 -0.136008 0.115521
2550 19.2795 2.02509 1.86032 -1.16578 -0.228247 0.280267
2600 19.2355 2.13816 2.04378 -1.46917 -0.119542 0.326531
2650 19.137 2.06835 1.99222 -1.28921 -0.273811 0.297633
