# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 1.77029 1.66422 1.65813 -0.0828521 0.0564908 0.274354
50 1.65494 1.68294 1.53591 0.0900379 0.019686 0.269175
100 1.58114 1.40878 1.27247 -0.0237263 -0.250218 -0.0488798
150 1.55287 1.7397 1.5438 -0.0088086 -0.248829 -0.0818601
200 1.38699 1.80555 1.80886 0.0723399 -0.146151 0.241197
250 1.18122 1.69624 1.65461 0.0893176 -0.0475609 0.299139
300 1.37674 1.46885 1.78298 0.02712 -0.088947 -0.0511238
350 1.55351 1.69243 1.62791 -0.0539289 -0.132894 -0.0366473
400 1.546 1.74613 1.3417 -0.177487 0.00500795 -0.0364625
450 1.68599 1.87247 1.90864 0.136118 -0.0524409 0.111217
500 1.61025 1.6523 1.63886 -0.0600935 0.0934261 0.0871155
550 1.29133 1.74015 1.47934 -0.0525165 0.0763219 -0.00709533
600 1.32072 1.62638 1.14196 -0.224899 -0.16713 0.0852393
650 1.5454 1.54324 1.21716 0.102639 -0.213898 0.0781845
700 1.79055 1.43824 1.4378 0.205992 -0.12002 -0.18757
750 1.82895 1.60014 1.65899 0.132442 -0.0565017 -0.212038
800 1.28845 1.26617 1.5133 -0.045274 -0.189715 -0.159456
850 1.43136 1.64489 1.73227 0.063613 -0.127625 -0.351818
900 1.53424 1.69928 1.86388 0.0252948 -0.0938659 -0.311331
950 1.67686 1.62539 1.94258 -0.138479 0.109513 -0.159564
1000 1.6967 1.64816 1.68755 -0.089803 0.133249 -0.0513218
1050 2.07541 1.80762 1.864 -0.0607634 0.364595 -0.0148488
1100 1.84262 1.79986 1.62546 -0.0462113 0.0638659 0.108077
1150 1.70641 1.64721 1.84994 -0.067954 0.00326683 0.192677
1200 1.63895 1.89112 1.69903 -0.0121171 0.0181511 0.0748203
1250 1.84445 1.99532 1.80306 -0.110316 -0.0522197 0.211533
1300 1.57698 1.92446 1.82241 0.193952 -0.133078 0.0468684
1350 1.64201 1.88122 1.89202 0.0913356 0.068614 -0.182461
1400 1.37262 1.49979 1.82272 0.0547734 0.220736 -0.280627
1450 1.67938 1.8173 1.60771 -0.154637 -0.100855 -0.0861222
1500 1.61761 1.8174 1.25224 -0.334631 -0.213099 -0.136518
1550 1.75104 1.77825 1.37188 -0.199587 -0.28434 -0.149813
1600 1.81733 1.76861 1.68962 -0.16739 -0.163046 -0.0912364
1650 1.66512 1.29183 1.86792 -0.0271836 -0.138334 -0.195736
1700 1.61723 1.46561 1.72793 -0.188564 -0.250085 -0.163467
1750 1.41896 1.50495 1.59493 -0.109384 -0.273284 -0.243574
1800 1.49538 1.49898 1.61624 -0.171166 -0.172383 -0.0671315
1850 1.58852 1.2627 1.55134 -0.0603256 0.00948755 -0.023968
1900 1.48843 1.51808 1.62154 -0.115603 0.203646 -0.117564
1950 1.25261 1.54547 1.45972 0.069864 0.00306098 0.130268
2000 1.36663 1.48284 1.55906 0.071551 -0.101437 0.215714
2050 1.74323 1.54119 1.48359 0.125052 -0.0840668 -0.0354533
2100 1.49269 1.36928 1.53019 0.308392 -0.0742414 -0.116961
2150 1.66125 1.54223 1.79401 -0.00299437 -0.218011 -0.09983
2200 1.54564 1.64105 2.18062 0.0152556 -0.19622 -0.250465
2250 1.35092 1.68969 1.83411 0.17344 -0.243734 -0.177031
2300 1.49952 1.90093 1.96552 0.300704 -0.214374 -0.0208383
2350 1.59428 1.65386 1.55708 0.0880548 -0.26869 -0.075451
2400 1.47843 1.73991 1.46659 -0.0853903 -0.138976 0.0358637
2450 1.56513 1.97916 1.4529 0.108908 0.0717665 0.252905
2500 1.7438 1.48314 1.19723 0.0754146 -0.0883147 0.209408
2550 2.02746 1.60305 1.37102 0.0825968 -0.305824 0.150848
2600 1.92473 1.58402 1.6254 0.0852642 -0.00693556 0.131755
2650 1.77322 1.86282 1.48441 0.0218873 0.212578 0.191305
2700 1.96373 1.91745 1.6664 -0.0578367 0.144499 -0.00698522
2750 1.72528 1.51339 1.74096 -0.112174 0.048383 0.0103638
2800 1.57163 1.46953 1.81743 -0.0183293 0.0140128 0.102524
2850 1.46473 1.71057 1.72251 0.184072 -0.0421275 -0.0748766
2900 1.43834 1.45055 1.39973 -0.0122463 -0.000778568 -0.109785
2950 1.51378 1.30491 1.31455 0.0479259 0.0995256 -0.0740229
3000 1.21171 1.61236 1.59437 -0.0661674 0.183073 0.134074
3050 1.16489 1.52558 1.48923 0.0508717 -0.0436609 0.309657
3100 1.39017 1.63456 1.81941 0.00268357 0.108323 0.100363
3150 1.55707 1.49281 1.70447 -0.0839658 -0.0316575 0.0142962
3200 1.73331 1.74808 1.97061 -0.117357 0.0387159 -0.0602915
3250 1.47794 1.61033 2.04263 -0.235092 -0.0385258 -0.172949
3300 1.30899 1.89619 2.35119 -0.19746 0.038177 0.138212
3350 1.58866 2.11256 2.31562 0.0881858 0.127876 0.354862
3400 1.83049 1.49239 1.85902 -0.0568299 0.116089 0.0978397
3450 1.74371 1.33007 1.58223 -0.0137368 0.334517 0.0216163
3500 1.76069 1.42724 1.26965 -0.0480282 0.22916 -0.17602
3550 1.52392 1.73091 1.42479 -0.223721 -0.00462858 -0.192691
3600 1.48877 1.4122 1.30758 -0.154433 0.00469345 -0.117363
3650 1.63656 1.23647 1.50824 -0.0270056 0.105447 -0.0771038
3700 1.72689 1.77958 1.62791 0.227067 -0.117992 0.122579
3750 1.51603 1.83139 1.61482 -0.258472 -0.372625 -0.00566974
3800 1.39985 1.87845 1.52005 -0.20677 -0.272943 -0.00361852
3850 1.46754 1.97407 1.8927 -0.0429125 -0.0480452 0.0112049
