# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 172.38 3.5713 2.92302 -3.07252 -0.156602 -0.102169
50 172.357 3.17171 3.03686 -2.90216 0.0468301 0.0845599
100 169.69 3.72408 2.92117 -3.66099 0.090491 0.0299111
150 171.212 4.0137 2.87883 -3.99789 0.254862 0.360977
200 170.466 4.09551 2.69353 -3.50076 0.180813 0.513403
250 171.72 4.08907 2.85367 -3.71191 0.0217218 0.440552
300 172.749 3.64067 2.72033 -3.65576 -0.115955 0.30199
350 172.801 4.01078 2.63287 -4.22304 0.141793 0.167843
400 171.943 4.38688 2.73945 -4.16707 0.230698 0.220224
450 170.258 4.88651 2.9408 -3.68135 0.104876 0.0482495
500 169.048 4.22946 2.92057 -3.55798 0.0348675 0.0652626
550 168.06 4.77915 3.16529 -4.0807 0.087975 0.0491502
600 170.779 4.77338 3.36217 -3.7807 0.272575 -0.355881
650 168.924 4.6388 3.37033 -3.71753 0.207128 -0.276275
700 168.452 4.06546 3.14498 -3.3689 0.00161082 -0.31143
750 169.678 3.95143 3.06227 -3.48413 -0.0595254 -0.500485
800 170.352 4.26037 2.65293 -3.67063 -0.244829 -0.414112
850 169.873 4.20308 2.73894 -3.67693 0.107049 -0.458835
900 169.726 4.27108 2.93904 -3.99376 0.244275 -0.230054
950 169.322 4.4305 3.10623 -3.95865 0.203401 -0.125047
1000 170.421 4.38387 3.26635 -4.01321 0.152574 -0.0473452
1050 170.764 4.92566 3.3648 -4.27947 -0.12491 -0.0147992
1100 171.381 4.49427 3.28201 -4.09401 0.0241606 0.00501494
1150 170.269 4.44465 3.40397 -3.8142 -0.201031 -0.0577651
1200 169.883 4.34979 3.49829 -3.62413 0.0126328 -0.083928
1250 171.835 3.82589 3.44768 -3.67311 -0.122352 0.201577
1300 172.231 3.70677 3.18436 -3.57817 -0.228012 0.147112
1350 171.914 3.89109 3.32459 -3.72834 -0.0710529 -0.069686
1400 171.373 4.3964 3.55485 -3.84617 0.0123935 -0.116354
1450 172.841 4.52186 3.53958 -3.51146 0.26463 0.0516806
1500 172.495 4.21442 3.19358 -2.95926 0.27856 0.0696801
1550 172.719 4.1221 3.23904 -2.7625 0.209394 -0.0904366
1600 171.473 4.11057 3.15783 -3.19154 0.279047 -0.172532
1650 171.673 4.3587 3.34451 -3.54912 0.278472 -0.0251756
1700 170.896 4.17388 3.1747 -3.58381 0.532328 0.0411851
1750 170.915 4.61319 3.06047 -3.65301 0.385195 0.0460047
1800 171.723 4.62858 3.04972 -4.11734 0.268768 -0.100753
1850 172.53 4.46638 3.60541 -4.00051 0.589714 -0.0258164
1900 171.886 3.80014 3.21289 -4.23336 0.621334 -0.0189505
1950 170.462 3.4095 2.65423 -3.96322 0.466082 -0.322099
2000 170.084 3.26771 2.44967 -3.76469 0.51344 -0.22336
2050 170.35 3.63667 2.22872 -4.06692 0.489781 -0.239906
2100 170.251 3.99891 2.37521 -4.02237 0.378886 -0.226577
2150 171.058 4.39783 2.90919 -3.98746 0.429968 -0.0693438
2200 172.237 4.39154 3.22318 -4.04204 0.337666 0.123625
2250 173.276 4.3945 3.73938 -3.96834 0.300562 0.0111254
2300 171.31 4.75473 3.44759 -4.24749 0.420256 0.0496898
2350 171.507 3.94205 3.05221 -3.63069 0.214125 0.033744
2400 171.888 3.48713 2.56479 -3.42294 0.0900361 0.113241
2450 171.741 3.37111 2.30388 -3.29182 0.241553 0.158956
2500 168.512 3.45063 2.34509 -3.4272 0.278428 0.202844
2550 167.819 3.34605 2.74917 -3.44888 0.137849 0.140453
2600 167.453 3.76846 2.98046 -3.67664 0.056591 0.358091
2650 168.079 3.72075 3.14058 -3.3905 0.147691 0.255111
2700 169.518 3.90323 3.29628 -3.56039 -0.105128 0.00963371
2750 170.282 4.1633 3.23492 -3.55608 -0.32961 0.297137
2800 170.458 4.20952 3.27764 -3.50188 0.100643 -0.0797664
2850 169.699 4.30666 3.16328 -3.58431 0.182816 0.109365
2900 168.926 4.26118 3.18034 -3.55269 0.213004 -0.0228077
2950 169.387 4.47486 2.82773 -3.55857 0.0121888 -0.0959587
3000 170.677 3.85931 2.76581 -3.24033 0.105584 -0.0634329
3050 168.838 3.75424 3.3198 -2.9219 -0.0785436 -0.111145
3100 169.69 3.66225 3.04786 -3.09156 -0.253686 -0.0414793
3150 169.218 4.0115 2.70711 -3.30768 -0.129406 0.069602
3200 169.944 3.972 2.91558 -3.40748 0.256821 0.333315
3250 170.702 4.30827 3.04459 -3.61754 0.494589 0.172448
3300 171.361 4.63127 2.93074 -3.91602 0.341699 0.214058
3350 171.259 4.88835 3.17952 -3.955 0.4524 0.169192
3400 171.547 4.97142 3.69521 -3.85959 0.456897 0.0157308
3450 172.703 4.96312 3.59856 -4.03298 0.11615 0.0745567
3500 174.439 4.43318 3.20331 -4.02573 0.10189 0.152914
3550 173.225 4.17659 3.29273 -4.0491 0.0256115 0.0155176
3600 172.512 4.20193 3.1902 -3.94802 -0.0802825 0.306078
3650 172.845 3.89892 2.94352 -3.55862 -0.139037 0.226911
3700 171.029 3.43143 2.95589 -3.55667 0.14063 0.240543
3750 170.349 3.54413 2.83405 -3.66615 -0.132199 0.192274
3800 172.746 3.56181 2.91049 -3.46185 -0.231371 0.0790919
3850 169.724 3.98556 3.30583 -3.27313 -0.263739 0.304748
3900 170.821 4.47099 2.91969 -3.26492 0.0356789 0.104843
3950 170.624 4.90787 2.83376 -3.55258 0.101252 0.0505501
4000 170.066 4.55888 3.06797 -3.32378 0.32891 -0.0933383
4050 171.039 4.43054 3.2324 -3.81767 0.281527 0.114374
4100 172.121 4.50569 3.00735 -4.16367 0.0535069 -0.0268537
4150 172.089 4.86298 3.20369 -3.97795 0.119104 -0.39853
4200 172.612 4.53875 3.52339 -3.69404 0.0650344 -0.380764
4250 172.177 4.54332 3.31183 -3.54893 -0.188865 -0.274881
4300 172.021 3.62206 2.95037 -3.27586 -0.127895 0.0665715
4350 172.588 3.45785 2.41476 -3.48942 -0.161414 0.0570282
4400 173.656 3.59412 2.68795 -3.48165 0.0915606 0.074193
4450 170.759 3.45671 2.64244 -3.23308 0.286982 -0.0576755
4500 170.018 3.65939 2.68646 -3.19685 0.165099 0.0763496
4550 170.307 3.96057 2.85101 -3.37234 0.0746913 0.0148325
4600 170.562 3.91428 2.75867 -3.46867 -0.112018 -0.183984
4650 169.432 3.42736 3.23364 -3.33401 -0.176285 -0.135466
4700 168.963 3.74622 3.44276 -3.61829 -0.293648 0.323396
4750 169.012 3.73386 3.40753 -3.55813 -0.42079 0.263372
4800 169.377 3.85491 3.36903 -3.52048 -0.520818 0.115927
4850 168.335 3.81032 3.31814 -3.57791 -0.343554 0.464765
4900 168.601 3.78126 3.11061 -3.5343 -0.497442 0.48481
4950 170.582 3.74829 2.98302 -3.61502 -0.512106 0.230488
5000 172.282 3.62968 2.81828 -3.83006 -0.160364 0.099638
5050 171.814 3.97199 2.64839 -3.81298 0.148125 0.146921
5100 171.374 3.41827 2.58787 -3.61524 -0.138764 0.153313
5150 168.355 3.70891 2.53005 -4.06062 -0.18834 0.0796235
5200 168.091 4.0017 3.13711 -3.99262 -0.152378 -0.038604
5250 167.594 3.96752 3.14529 -3.32078 -0.398133 0.134851
5300 166.365 3.724 3.03797 -3.29153 -0.323115 0.118386
5350 166.063 3.56881 3.1332 -3.56876 -0.335245 0.0335049
5400 166.503 3.24193 3.14105 -3.68764 -0.345602 -0.0326914
5450 166.508 3.86329 3.04251 -3.90694 -0.357478 0.237364
5500 167.026 4.66103 2.99801 -4.26032 -0.0977255 0.152499
5550 168.942 4.37794 3.14267 -3.64121 0.0283319 0.104894
5600 169.177 4.07954 2.65845 -3.51063 -0.0670928 -0.0413605
5650 170.671 4.00614 2.71226 -3.99597 -0.0611599 -0.206761
5700 170.118 4.16451 2.83536 -4.2072 0.229693 -0.209139
5750 169.125 4.27472 2.88858 -3.87966 0.139475 -0.467887
5800 168.514 4.05049 2.94471 -3.41215 -0.222242 -0.382213
5850 169.367 4.65475 3.26134 -4.19243 -0.339764 -0.0168597
5900 170.691 4.80616 3.29562 -4.24007 -0.217847 -0.151903
5950 169.548 4.69873 3.07911 -4.25302 -0.176196 0.122139
6000 169.029 4.73025 3.26703 -4.20158 0.210121 0.0599777
6050 169.805 4.6808 3.35062 -3.66214 -0.0257453 -0.127354
6100 168.649 4.0262 3.03699 -3.52183 0.0729051 -0.189022
6150 170.15 3.47974 3.06391 -3.60663 0.234064 -0.306265
6200 170.376 3.49817 3.14592 -3.62172 0.0610224 -0.270585
6250 170.099 3.3393 3.32933 -3.34549 0.362715 0.0868766
6300 170.389 3.30345 3.03736 -3.74773 0.204807 0.127597
6350 172.496 3.15753 2.60049 -3.93816 0.137621 -0.147487
6400 173.094 3.71777 2.2831 -3.75849 -0.184018 -0.308836
6450 171.005 4.02901 2.18806 -3.4821 0.0714985 -0.294956
6500 171.435 4.18929 2.19619 -3.26453 0.292488 -0.000232693
6550 171.969 4.14271 2.45539 -3.46061 0.284755 -0.0850555
6600 172.104 4.63562 2.93836 -3.6534 -0.117695 0.0823848
6650 171.175 4.5262 3.53936 -3.26649 -0.024507 0.0492007
6700 171.093 3.86009 3.74086 -3.45906 -0.0911552 0.112457
6750 173.277 3.66685 3.71497 -3.27705 -0.0198612 0.0538613
6800 172.112 3.88652 3.52457 -3.31492 0.0946467 -0.247855
6850 169.773 3.57498 3.08568 -3.1876 0.385068 -0.301492
6900 170.124 3.85947 2.99602 -3.40374 0.260893 -0.0472372
6950 171.275 4.04394 2.88486 -3.67596 0.241376 0.0110638
7000 172.173 4.09855 3.06301 -3.63615 -0.147434 0.0689698
7050 172.237 3.45825 3.31844 -3.47047 -0.0865999 -0.0832861
7100 172.476 3.50035 2.94419 -3.54098 0.0296839 -0.0978669
7150 172.142 4.69196 3.10691 -3.55185 -0.0968891 -0.0680432
7200 170.321 4.54679 2.88701 -3.57139 -0.520772 0.0792435
7250 172.127 4.53227 3.11379 -3.2766 -0.490425 -0.00062591
7300 170.865 4.06954 3.18584 -3.5431 -0.495274 0.0793635
7350 171.198 3.77393 3.06861 -3.43834 -0.486307 0.162053
7400 170.498 3.69383 3.36267 -3.51157 -0.167456 0.290377
7450 172.085 3.8601 3.40961 -3.52882 0.00840617 0.270444
7500 172.184 3.68514 2.75721 -3.81193 0.308894 -0.223539
7550 171.595 3.70629 2.98772 -3.66893 0.294931 0.000448818
7600 169.453 3.36047 3.32501 -3.09556 -0.0649959 0.351438
7650 169.891 3.79513 3.63688 -3.29623 -0.113863 0.358413
7700 170.841 4.53191 3.6028 -3.76532 -0.0418996 0.0307057
7750 169.606 4.84198 3.33185 -3.35808 0.0223759 0.098508
7800 170.927 3.65133 3.22692 -2.93458 0.0864555 -0.0470335
7850 173.264 3.38643 3.2429 -2.91361 -0.317415 0.130162
7900 171.592 3.97028 3.00193 -3.92103 -0.151915 0.370097
7950 172.54 4.03101 2.7578 -4.16463 -0.0152879 0.28606
8000 171.929 3.44827 2.64035 -3.75557 0.104886 0.151038
8050 171.984 3.48826 2.48249 -3.54363 -0.0302738 -0.00927873
8100 170.188 3.87724 2.6073 -3.70259 0.178044 0.0777354
8150 170.736 3.68026 2.88775 -3.48979 -0.0521036 0.291162
8200 170.43 3.75626 2.88329 -3.46352 -0.249138 0.0703901
