# Chunk-averaged data for fix fx_den and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
10000 240 2560
  186 6.55 13.2618 0.518039
  187 6.65 13.1449 0.513473
  188 6.75 12.341 0.48207
  189 6.85 12.0026 0.468852
  190 6.95 12.5239 0.489215
  191 7.05 13.0198 0.508586
  192 7.15 13.7834 0.538414
  193 7.25 15.6296 0.610531
  194 7.35 14.9061 0.58227
  195 7.45 15.1925 0.593457
  196 7.55 14.5851 0.56973
  197 7.65 12.7898 0.499602
  198 7.75 11.473 0.448164
  199 7.85 11.3161 0.442035
  200 7.95 10.8465 0.423691
  201 8.05 12.4595 0.486699
  202 8.15 14.8015 0.578184
  203 8.25 18.0648 0.705656
  204 8.35 20.4984 0.800719
  205 8.45 21.2556 0.830297
  206 8.55 18.3019 0.714918
  207 8.65 13.4807 0.52659
  208 8.75 8.8476 0.345609
  209 8.85 6.9177 0.270223
  210 8.95 7.2303 0.282434
  211 9.05 8.5313 0.333254
  212 9.15 12.8439 0.501715
  213 9.25 22.489 0.878477
  214 9.35 36.2829 1.4173
  215 9.45 41.1311 1.60668
  216 9.55 25.0502 0.978523
  217 9.65 5.4655 0.213496
  218 9.75 0.1327 0.00518359
  219 9.85 0 0
  220 9.95 0 0
  221 10.05 0 0
  222 10.15 0 0
  223 10.25 0 0
  224 10.35 0 0
  225 10.45 0 0
  226 10.55 0 0
  227 10.65 0 0
  228 10.75 0 0
  229 10.85 0 0
  230 10.95 0 0
  231 11.05 0 0
  232 11.15 0 0
  233 11.25 0 0
  234 11.35 0 0
  235 11.45 0 0
  236 11.55 0 0
  237 11.65 0 0
  238 11.75 0 0
  239 11.85 0 0
  240 11.95 0 0
