# Chunk-averaged data for fix fx_vel1 and group vy
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx vy vz
10000 240 2560
  108 -1.25 13.5867 -0.0616737 -0.0162581 -0.044067
  109 -1.15 14.1916 -0.0217527 0.0656269 -0.0419569
  110 -1.05 14.3162 -0.00909396 0.00712533 -0.0401119
  111 -0.95 14.5036 -0.0216677 0.0500384 -0.0417723
  112 -0.85 13.7022 0.000443895 -0.00538887 -0.0411973
  113 -0.75 12.9983 -0.0270043 -0.0585668 -0.0412337
  114 -0.65 13.0673 -0.0566803 0.0187048 -0.0382136
  115 -0.55 14.2944 -0.0493865 0.0224169 -0.0376972
  116 -0.45 14.8177 -0.0237472 0.0111786 -0.0414304
  117 -0.35 14.3954 -0.0526273 -0.00718457 -0.0450719
  118 -0.25 13.733 -0.0756473 0.0593476 -0.0426714
  119 -0.15 13.2446 -0.0447259 -0.00234824 -0.03761
  120 -0.05 13.6499 -0.103815 0.0773061 -0.0362722
  121 0.05 14.5129 -0.0568078 0.0593095 -0.0365856
  122 0.15 15.2406 -0.0508039 -0.0346899 -0.0331708
  123 0.25 14.7283 -0.075265 -0.0504342 -0.033529
  124 0.35 14.1045 -0.0586235 -0.0621191 -0.038247
  125 0.45 14.1482 -0.0701006 -0.091398 -0.0352318
  126 0.55 14.15 -0.0828923 0.0233172 -0.0389168
  127 0.65 14.6238 -0.0168959 -0.0273505 -0.0406329
  128 0.75 13.0825 -0.128483 -0.0043729 -0.0423611
  129 0.85 12.7995 -0.0898689 0.04327 -0.0403676
  130 0.95 13.1853 -0.0523625 -0.0253009 -0.0367604
  131 1.05 13.7666 -0.0852852 -0.0157173 -0.0317753
  132 1.15 14.3757 -0.110474 -0.046798 -0.0315104
  133 1.25 14.1782 -0.118888 -0.0142924 -0.0309478
  134 1.35 13.6465 -0.0811537 -0.0143558 -0.0331689
  135 1.45 13.348 -0.0149231 -0.0189971 -0.0355002
  136 1.55 13.3283 -0.128295 0.0110739 -0.0343174
  137 1.65 13.3059 -0.100942 0.0366045 -0.0306841
  138 1.75 12.9449 -0.149383 0.0230336 -0.0283109
  139 1.85 13.1757 -0.150415 -0.00703924 -0.0263207
  140 1.95 13.3892 -0.112748 0.00357307 -0.0237712
  141 2.05 13.8185 -0.089606 0.0387352 -0.0180522
  142 2.15 14.1129 -0.106549 0.0873701 -0.0187058
  143 2.25 14.5006 -0.115406 0.0336612 -0.0190126
  144 2.35 13.2665 -0.159388 0.0773612 -0.0230938
  145 2.45 12.7803 -0.124738 0.0167333 -0.0308579
  146 2.55 12.199 -0.0491253 -0.0294724 -0.032077
  147 2.65 11.7605 -0.114615 -0.00420494 -0.0385151
  148 2.75 12.7424 -0.0891059 0.0139636 -0.0322847
  149 2.85 13.4208 -0.106665 -0.0459425 -0.0205518
  150 2.95 12.6908 -0.116122 -0.0136802 -0.0224704
  151 3.05 13.9632 -0.094215 -0.0165727 -0.0198246
  152 3.15 14.0974 -0.0704917 -0.0300103 -0.0187786
  153 3.25 13.891 -0.0988023 -0.0194501 -0.0207357
  154 3.35 12.9731 -0.10985 -0.0260761 -0.0243754
  155 3.45 12.1788 -0.125211 -0.07213 -0.0244949
  156 3.55 12.2313 -0.114494 -0.0430576 -0.0299754
  157 3.65 12.1514 -0.204951 -0.0513504 -0.0297076
  158 3.75 12.5262 -0.196307 -0.0474125 -0.0278461
  159 3.85 12.9094 -0.1536 -0.0124479 -0.0204786
  160 3.95 13.1046 -0.143235 0.011207 -0.0155931
  161 4.05 12.3359 -0.155588 -0.0534033 -0.0196878
  162 4.15 12.5826 -0.120709 -0.0550065 -0.0249336
  163 4.25 12.0437 -0.148206 -0.0421645 -0.0282722
  164 4.35 11.9889 -0.0875577 -0.00609238 -0.0328569
  165 4.45 12.3027 -0.125622 0.00466686 -0.0312704
  166 4.55 12.3928 -0.149517 -0.0520917 -0.0307657
  167 4.65 11.8612 -0.130558 -0.0800397 -0.02971
  168 4.75 11.563 -0.0804317 -0.0171262 -0.0277328
  169 4.85 12.2564 -0.0942717 -0.0174337 -0.0261353
  170 4.95 12.2179 -0.165901 0.0185415 -0.0225372
  171 5.05 10.8017 -0.148109 -0.00757067 -0.0279675
  172 5.15 10.854 -0.173623 0.0314607 -0.0343506
  173 5.25 11.7282 -0.0886896 -0.00445921 -0.0325797
  174 5.35 12.1998 -0.0748327 0.0004922 -0.03343
  175 5.45 11.7018 -0.117502 -0.023588 -0.0279027
  176 5.55 11.5322 -0.174064 0.0147158 -0.0276063
  177 5.65 11.262 -0.134471 -0.04442 -0.026297
  178 5.75 10.539 -0.10569 -0.0364407 -0.026142
  179 5.85 10.551 -0.121263 -0.0831516 -0.0328019
  180 5.95 10.7249 -0.115592 -0.0345993 -0.0389126
  181 6.05 10.6191 -0.118475 0.00748864 -0.0489794
  182 6.15 11.1505 -0.103485 -0.0460705 -0.0486182
  183 6.25 11.6335 -0.0418805 0.015507 -0.0443137
  184 6.35 10.9863 -0.0429717 -0.02359 -0.0433951
  185 6.45 11.748 -0.0388004 0.0331537 -0.0361369
  186 6.55 11.5127 -0.105256 0.0489539 -0.0353757
  187 6.65 10.8116 -0.118955 0.096296 -0.0440978
  188 6.75 10.4187 -0.0786425 0.0593295 -0.0530925
  189 6.85 10.3617 -0.106092 0.118698 -0.0608858
  190 6.95 9.9324 -0.168819 0.0458926 -0.0670405
  191 7.05 10.0496 -0.114903 0.111568 -0.0662367
  192 7.15 11.3019 -0.0943266 0.0660898 -0.0581171
