# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 1.3832 1.33371 1.38661 -0.176025 0.00108881 0.267691
50 1.44623 1.32169 1.79055 -0.0935481 0.012016 0.157627
100 1.29427 1.48177 1.76906 -0.104092 -0.0213028 0.245151
150 1.57259 1.65982 1.48819 -0.327162 -0.0239892 0.236349
200 1.25715 1.63984 1.42819 -0.397382 0.0853363 0.030326
250 1.30885 1.68585 1.69121 -0.307856 0.0352272 -0.0206084
300 1.4268 1.61693 1.54524 -0.324043 0.0868567 0.064456
350 1.44149 1.47816 1.51639 -0.243164 0.0224295 0.154624
400 1.392 1.3549 1.50517 -0.334641 0.00283161 0.0797366
450 1.42847 1.31283 1.5609 -0.388233 0.111631 -0.0327735
500 1.31321 1.41056 1.35233 -0.284818 0.185644 0.0225406
550 1.15285 1.35025 1.42052 -0.192633 0.107763 -0.0655447
600 1.38703 1.37731 1.43179 -0.0697882 -0.0314147 -0.129216
650 1.59831 1.48607 1.49832 -0.238946 -0.0154316 -0.256419
700 1.34598 1.35898 1.60377 -0.365608 0.129955 -0.130953
750 1.6113 1.54235 1.34677 -0.337953 0.249989 -0.147947
800 1.70279 1.93558 1.43 -0.353052 0.17333 0.0220925
850 1.74012 1.6061 1.31431 -0.255048 0.23958 -0.0477371
900 1.67968 1.41769 1.26132 -0.162374 -0.0414493 0.122198
950 1.61338 1.29346 1.53712 -0.144471 -0.027981 0.0169157
1000 1.56506 1.1618 1.20009 -0.206179 -0.181394 -0.0681695
1050 1.69811 1.0788 1.31587 -0.227112 -0.216452 -0.050791
1100 1.41891 0.85879 1.14114 -0.252882 -0.0426913 -0.0808439
1150 1.34719 1.01221 1.35091 -0.30855 -0.129853 0.0372839
1200 1.26164 1.40804 1.55997 -0.213493 -0.0204293 0.0271672
1250 1.16043 1.15218 1.50186 -0.168051 0.0387392 0.186191
1300 1.18262 1.16102 1.51234 -0.0859609 0.171367 0.189936
1350 1.09083 1.52895 1.48582 0.138812 0.296823 0.223888
1400 0.949156 1.46839 1.64903 0.0370027 0.0728668 0.16236
1450 1.25083 1.20969 1.33235 -0.116185 0.00463486 0.0263395
1500 1.85469 1.07791 1.45102 -0.444791 0.0672579 -0.0672288
1550 1.50961 0.954298 1.24394 -0.413767 -0.0218622 -0.163009
1600 1.50279 1.01531 1.03388 -0.302486 -0.0169308 -0.0516106
1650 1.50355 1.13465 0.951587 -0.356445 0.202892 -0.0173648
1700 1.37132 1.18308 1.25618 -0.243341 0.163598 0.137132
1750 1.38885 1.38981 1.17223 -0.0148951 0.104486 -0.0140672
1800 1.48774 1.48821 1.36171 0.0851418 -0.0269562 -0.190901
1850 1.31881 1.44153 1.33887 -0.0906678 -0.0549889 -0.0996714
1900 1.46693 1.38825 1.39195 -0.149481 0.0770672 0.00687457
1950 1.35048 1.48471 1.63059 -0.157816 0.163709 0.0815893
2000 1.42396 1.72907 1.16478 -0.367947 0.257183 0.252859
2050 1.36815 1.74176 1.16054 -0.179468 0.0114775 0.211851
2100 1.34109 1.64296 1.02472 -0.396657 0.0953233 0.0391689
2150 1.35503 1.72119 1.11719 -0.277411 0.161628 -0.0474036
2200 1.53001 1.79164 1.28344 -0.0405931 0.150629 -0.250704
2250 1.32476 1.57724 1.11735 -0.126502 0.116766 -0.22768
