# Time-averaged data for fix fxpress
# TimeStep c_computePress[1] c_computePress[2] c_computePress[3] c_computePress[4] c_computePress[5] c_computePress[6]
0 62.116 2.38688 1.89945 -2.45815 0.106473 0.00494084
50 61.7233 2.24931 1.88478 -2.32989 0.0559819 0.0029097
100 60.8539 2.48479 1.87468 -2.39229 -0.0019899 0.0368134
150 60.989 2.48899 1.76806 -2.36214 -0.128677 0.105892
200 61.3856 2.34952 1.89776 -2.3821 0.00195101 -0.0826508
250 62.3613 2.84437 2.39017 -2.6985 0.0427078 -0.125884
300 61.9858 2.89895 2.23604 -2.44577 0.150724 -0.242682
350 62.8711 2.81874 2.27885 -2.54194 0.0111246 -0.13287
400 61.6897 3.20855 2.67092 -2.71786 -0.020828 -0.136347
450 61.6828 3.29609 2.6257 -2.49081 -0.0338331 -0.219621
500 62.8949 3.18688 1.9652 -2.7251 -0.269258 0.000632188
550 63.2993 2.9069 1.99853 -2.65869 -0.243264 -0.0190477
600 63.1372 2.95431 2.53152 -2.51488 -0.113237 -0.0195475
650 62.9761 2.96476 2.12765 -2.66799 0.101165 -0.213849
700 62.9219 3.02529 2.11515 -2.58969 0.335036 -0.383946
750 63.4655 2.77814 2.1869 -2.73869 0.306288 -0.59915
800 63.7731 2.97536 2.37045 -2.73782 0.0760372 -0.52437
850 63.1538 2.93621 2.56206 -2.59432 0.125731 -0.22564
900 62.4373 2.96588 2.55483 -2.48486 0.647186 -0.221357
950 62.021 2.99495 2.56372 -2.59752 0.537753 -0.144785
1000 62.0846 3.11663 2.5427 -2.81265 0.101223 0.25104
1050 61.7975 3.09786 2.55724 -2.76438 0.0236587 -0.0678119
1100 62.3769 2.70805 2.40768 -2.77207 0.214593 0.222946
1150 63.117 2.85369 2.04338 -2.82535 0.117516 0.19635
1200 63.3762 2.77995 2.07727 -2.63116 0.115908 0.164718
1250 63.3451 2.46572 1.94936 -2.49923 0.0220492 0.150687
1300 62.2521 2.64502 1.80354 -2.39911 0.178923 0.0269487
1350 61.8359 2.85333 2.10295 -2.49847 0.0835069 -0.0415138
1400 61.7691 2.81053 2.0724 -2.56084 0.282699 -0.0875104
1450 62.6776 2.99671 2.53763 -2.7257 0.5474 -0.292081
1500 62.942 2.78552 2.49139 -2.65254 0.342639 -0.0645359
1550 63.9263 2.82531 2.49042 -2.57998 0.317104 -0.0219417
1600 64.03 2.75667 2.53411 -2.52025 0.256312 -0.257128
1650 63.7632 2.89771 2.45402 -2.60152 0.056909 -0.236479
1700 64.6451 3.57812 2.78959 -2.87792 0.34506 -0.0666476
1750 63.7769 3.47191 2.40526 -2.75614 0.199582 -0.141561
1800 63.9568 3.52379 2.68862 -2.53541 0.2376 -0.219503
1850 63.8321 2.93173 1.94645 -2.20583 0.0512182 -0.163252
1900 63.7805 2.35058 1.87589 -2.02857 -0.0501665 -0.139347
1950 63.9475 2.15758 2.04983 -2.15645 -0.0498595 -0.0570064
2000 63.8714 2.17922 2.09056 -2.33065 0.00830185 0.0914142
2050 64.2378 2.34134 2.19549 -2.61644 -0.14317 0.190327
2100 64.5988 2.58378 2.17267 -2.51875 -0.141174 0.0207727
2150 64.5541 2.90601 2.8261 -2.37028 -0.133225 -0.0371614
2200 63.4397 3.27583 2.78535 -2.5267 -0.150685 -0.0886893
2250 63.7902 3.33848 2.89455 -2.55528 -0.082696 -0.095368
2300 64.1341 3.27444 2.87752 -2.74791 0.0267712 0.281871
2350 63.8122 2.83374 2.62783 -2.53884 0.362648 0.171282
2400 63.0732 2.7053 2.40726 -2.41709 0.311106 0.0847231
2450 62.8904 2.8353 2.00965 -2.73063 0.124129 0.249092
2500 62.5119 2.96666 1.73134 -2.60826 0.0040315 0.344737
2550 63.0857 2.64525 1.85875 -2.78439 -0.137859 0.295891
2600 62.901 2.63489 2.00644 -2.58679 0.0509634 -0.0827915
2650 63.0446 2.89678 2.08589 -2.5598 0.0316017 0.0129265
2700 63.4231 3.30075 2.1024 -2.56839 0.0263569 0.114764
